Items,Price,Link
Switches,10,https://stackskb.com/store/hmx-xinhai-pack-of-10/
Pico,4,https://robu.in/product/raspberry-pi-pico/
USB C Board,2,https://robu.in/product/usb-type-c-breakout-board-downstream-connection/
M3 screws,1,https://robu.in/product/easymech-ss304-m3-x-16-mm-socket-head-cap-allen-bolt-25-pcs/
M2 screws,2,https://robu.in/product/easymech-m2-x-6mm-socket-head-cap-allen-bolt-nut/
,19,
